Game_Name,Game_Price,Game_Genre,Game_URL
DISPATCH,N/A,Survival,https://aeriform.itch.io/dispatch
The Spider Ruins,$3,Action,https://calixjumio.itch.io/the-spider-ruins
Loto the Avatar,N/A,Role Playing,https://barelyconsciousgames.itch.io/loto-the-avatar
Waterside,N/A,Action,https://klehrik.itch.io/waterside
Ghost House,N/A,Adventure,https://kittenm4ster.itch.io/ghost-house
Robinsons,N/A,Strategy,https://egordorichev.itch.io/robinsons
Cave Runners!,N/A,Platformer,https://guerragames.itch.io/cave-runners
Random Dungeon,N/A,Platformer,https://eduszesz.itch.io/random-dungeon
Tetromino Colormix,N/A,Puzzle,https://spacetruckergames.itch.io/tetromino-colormix
Magical Girl Maho (DEMO),N/A,Action,https://emptystudios.itch.io/maho
Everred - A Celeste Classic Mod,N/A,Platformer,https://taco360.itch.io/everred
Quest for the Book of Truth,N/A,Adventure,https://mush101.itch.io/quest-for-the-book-of-truth
Justice Pizza,N/A,Platformer,https://tarngerine.itch.io/justice-pizza
Eris' Scissors,N/A,Puzzle,https://arkicade.itch.io/eris-scissors
KONSAIRI (TRIAL Edition),N/A,Adventure,https://bitchunk.itch.io/konsairi
Tiny RPG,N/A,Role Playing,https://prrrpl.itch.io/tiny-rpg
Nüllptr,N/A,Action,https://egordorichev.itch.io/nullptr
Warming up!,N/A,Action,https://playmedusa.itch.io/warming-up
Beckon the Hellspawn,$2,Action,https://lokistriker.itch.io/bth
Night Fright Flight,N/A,Action,https://jusiv.itch.io/night-fright-flight
NEST 2,N/A,Action,https://doczi-dominik.itch.io/nest-2
The Herbal Spice Problem,N/A,Platformer,https://glass-dragon.itch.io/hsp
Paisley Princess,N/A,N/A,https://01010111.itch.io/paisley-princess
Happy Challah Days,N/A,Adventure,https://mboffin.itch.io/happy-challah-days
